district,address,complete_address,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,township,towncode,street,street_number,direction,distance,building,building_type,building_type1,building_type2,building_type3,neighborhood,neighborhood_type,neighborhood_type1,neighborhood_type2,neighborhood_type3,businessareas1,businessareas2,businessareas3,businessareasid1,businessareasid2,businessareasid3,businessareasloc1,businessareasloc2,businessareasloc3
杨浦区,平凉路1983号,上海市杨浦区平凉路1983号,121.546188,31.270287,121.54190612721526,31.27241385784468,定海路街道,310110001000,平凉路,1983号,Center,0,,,,,,,,,,,,,,,,,,,
杨浦区,延吉东路366号,上海市杨浦区延吉东路,121.539944,31.287644,121.53564315852844,31.28974946522753,延吉新村街道,310110015000,延吉东路,350号,北,7.64204,,,,,,长白三村小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,延吉,,,310110,,,121.534990|31.284972,,
宝山区,长江西路30弄,上海市宝山区长江西路,121.45396,31.336364,121.44936945022336,31.338214104676602,张庙街道,310113008000,长江西路,1408-1410号,南,7.75962,,,,,,泗塘二、三村小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,张庙,泗塘,通河,310113,310113,310113,121.450369|31.336366,121.458116|31.334848,121.447108|31.333801
宝山区,呼兰西路60号,上海市宝山区呼兰西路60号,121.435129,31.338719,121.4304970761099,31.340533893669573,庙行镇,310113112000,呼兰西路,60号,Center,0,,,,,,,,,,,庙行镇,张庙,通河,310113,310113,310113,121.436156|31.329455,121.450369|31.336366,121.447108|31.333801
宝山区,罗店路198弄,上海市宝山区198弄,121.421464,31.270145,121.4168190693342,31.271970678533414,大场镇,310113102000,南华苑路,115号,东北,3.92162,,,,,,久华佳苑(南华苑路),商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,,,,,,,,,
宝山区,南蕰藻路60号,上海市宝山区南蕰藻路,121.421671,31.335629,121.41702056461625,31.337429353967426,庙行镇,310113112000,南蕰藻路,789号,东北,54.1727,,,,,,,,,,,庙行镇,顾村,,310113,310113,,121.436156|31.329455,121.394975|31.352601,
宝山区,三树南路200弄,上海市宝山区三树南路,121.385818,31.423399,121.38115633151206,31.425170386846517,罗店镇,310113101000,毛家路,350号,东,210.781,,,,,,,,,,,,,,,,,,,
闵行区,合川路3098号,上海市闵行区合川路3098号,121.380896,31.179286,121.37626014615444,31.181155606242477,虹桥镇,310112107000,合川路,3098号,Center,0,,,,,,,,,,,虹梅路,七宝,程家桥,310104,310112,310105,121.400383|31.174148,121.359429|31.153670,121.374945|31.188523
松江区,涞坊路699弄,上海市松江区涞坊路699弄,121.307736,31.149798,121.30324511727535,31.151803033731458,九里亭街道,310117006000,涞坊路,705号,西北,1.94986,,,,,,汇贤阁,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,徐泾,,,310118,,,121.286159|31.175343,,
青浦区,高光路176号,上海市青浦区高光路|176号,121.311524,31.162824,121.30702390914146,31.1648154875802,徐泾镇,310118106000,高光路,151号,东,70.3974,,,,,,,,,,,徐泾,,,310118,,,121.286159|31.175343,,
青浦区,蟠臻路66号,上海市青浦区蟠臻路,121.28869,31.189587,121.28423187496143,31.191601527554365,徐泾镇,310118106000,崧泽大道,868号,北,192.252,,,,,,,,,,,徐泾,华漕,,310118,310112,,121.286159|31.175343,121.300790|31.225690,
黄浦区,梦花街147号,上海市黄浦区梦花街|147,121.487144,31.218654,121.48266771083175,31.220639978051835,老西门街道,310101019000,梦花街,172号,南,13.1622,河南好再来拉面(梦花街),餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,中餐厅,,,,,,城隍庙,董家渡,,310101,310101,,121.492975|31.225435,121.501392|31.213869,
静安区,西康路884号,上海市静安区西康路|884,121.443459,31.238546,121.43885198436787,31.240414891804924,江宁路街道,310106006000,新丰路,388号,东,1.81041,,,,,,,,,,,曹家渡,,,310106,,,121.435037|31.229951,,
徐汇区,汇站街82号,上海市徐汇区汇站街82号,121.432952,31.190011,121.42832935296609,31.191886419867654,徐家汇街道,310104014000,汇站街,82号,Center,0,汇站街80弄1号,商务住宅;住宅区;住宅区,商务住宅,住宅区,住宅区,南虹公寓,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,徐家汇,龙华,虹桥,310104,310104,310105,121.439121|31.193701,121.447517|31.173178,121.409335|31.202101
徐汇区,嘉善路131弄,上海市徐汇区嘉善路131弄,121.459597,31.209367,121.45503272656096,31.211283189081023,天平路街道,310104003000,永嘉路,271号,北,9.12462,,,,,,甘村137弄小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,岳阳,,,310104,,,121.452153|31.204920,,
徐汇区,建国西路691号,上海市徐汇区建国西路691号,121.444445,31.199955,121.43984346412856,31.20184388729512,天平路街道,310104003000,建国西路,691号,Center,0,建工锦江大酒店,住宿服务;宾馆酒店;三星级宾馆,住宿服务,宾馆酒店,三星级宾馆,,,,,,徐家汇,岳阳,龙华,310104,310104,310104,121.439121|31.193701,121.452153|31.204920,121.447517|31.173178
普陀区,竹柳路70号,上海市普陀区竹柳路70号,121.347404,31.289443,121.34281311181226,31.291308566540586,桃浦镇,310107103000,竹柳路,70号,Center,0,,,,,,,,,,,桃浦,,,310107,,,121.376506|31.277878,,
虹口区,瑞虹路2号,上海市虹口区瑞虹路|2,121.497606,31.261155,121.49316349149356,31.263152887488957,嘉兴路街道,310109014000,临平路,62号,西北,17.1752,,,,,,,,,,,提篮桥,北外滩,曲阳,310109,310109,310109,121.502898|31.252714,121.503076|31.252427,121.492832|31.281201
虹口区,远洋新村,上海市虹口区远洋新村,121.504526,31.268694,121.50010786840082,31.27070944794999,嘉兴路街道,310109014000,新港路,26-1号,南,13.1835,,,,,,,,,,,鞍山,曲阳,北外滩,310110,310109,310109,121.509148|31.276482,121.492832|31.281201,121.503076|31.252427
杨浦区,安波路985弄,上海市杨浦区安波路985弄,121.525407,31.299137,121.52105953577934,31.301200522353643,长海路街道,310110021000,安波路985弄,16号,北,135.25,,,,,,,,,,,五角场,江湾,中原,310110,310110,310110,121.513168|31.301791,121.497109|31.310831,121.533644|31.319712
杨浦区,抚顺路321号,上海市杨浦区抚顺路|321,121.511125,31.278414,121.50672975825921,31.280445027425223,四平路街道,310110009000,抚顺路,325号,东,8.56431,,,,,,抚顺路363弄小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,鞍山,延吉,曲阳,310110,310110,310109,121.509148|31.276482,121.534990|31.284972,121.492832|31.281201
杨浦区,军工路3500号,上海市崇明区军工路|3500号,121.539966,31.33555,121.53566120616121,31.337637297797944,殷行街道,310110016000,军工路,3000号,东南,90.6966,,,,,,,,,,,中原,,,310110,,,121.533644|31.319712,,
杨浦区,军工路470号,上海市杨浦区军工路470号,121.555588,31.291341,121.55132785859963,31.293477977789067,长白新村街道,310110013000,军工路,470号,Center,0,,,,,,,,,,,延吉,,,310110,,,121.534990|31.284972,,
杨浦区,隆昌路60号,上海市杨浦区隆昌路60-62号,121.551088,31.268638,121.54681896452743,31.27077577065846,定海路街道,310110001000,隆昌路,60-62号,Center,0,,,,,,,,,,,,,,,,,,,
杨浦区,平凉路1099号,上海市虹口区平凉路|1099号,121.532222,31.261523,121.52789985511657,31.26362025724333,大桥街道,310110018000,齐齐哈尔路,638号,西,31.3943,,,,,,九州丽园,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,,,,,,,,,
杨浦区,平凉路1696弄,上海市杨浦区平凉路,121.524711,31.257797,121.52036469061396,31.259875783328987,平凉路街道,310110006000,平凉路,639号,北,2.82034,华联超市(平凉店),购物服务;超级市场;上海华联,购物服务,超级市场,上海华联,平凉路627弄小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,提篮桥,北外滩,,310109,310109,,121.502898|31.252714,121.503076|31.252427,
杨浦区,齐齐哈尔路874号,上海市杨浦区齐齐哈尔路|874号,121.525347,31.266036,121.52100212341473,31.268112971154967,江浦路街道,310110008000,齐齐哈尔路,872号,南,2.02867,忆鑫台球俱乐部,体育休闲服务;运动场馆;台球厅,体育休闲服务,运动场馆,台球厅,金鹏花园(兰州路),商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,延吉,,,310110,,,121.534990|31.284972,,
杨浦区,双阳路181号,上海市杨浦区双阳路181号,121.536619,31.274084,121.53230940935374,31.27618701966635,大桥街道,310110018000,双阳路,181号,Center,0,,,,,,,,,,,延吉,,,310110,,,121.534990|31.284972,,
杨浦区,双阳路665号,上海市杨浦区双阳路|665号,121.528254,31.288448,121.52391683708206,31.290523517000082,延吉新村街道,310110015000,双阳北路,665号,南,7.90855,,,,,,双阳小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,延吉,,,310110,,,121.534990|31.284972,,
杨浦区,水丰路385号,上海市杨浦区水丰路385号,121.537317,31.288844,121.5330082772776,31.290942646991112,延吉新村街道,310110015000,水丰路,385号,Center,0,,,,,,,,,,,延吉,,,310110,,,121.534990|31.284972,,
松江区,宝正路99弄,上海市松江区99弄,121.187922,31.027008,121.18344756621997,31.02907578554144,方松街道,310117003000,文涵路,164号,东,47.5958,,,,,,,,,,,,,,,,,,,
青浦区,徐民东路蟠秀路,上海市青浦区徐民东路蟠秀路,121.295883,31.186087,121.29141258529152,31.18809293744098,徐泾镇,310118106000,蟠秀路,100号,东,212.407,,,,,,,,,,,徐泾,华漕,,310118,310112,,121.286159|31.175343,121.300790|31.225690,
青浦区,育才路京华路,上海市青浦区京华路,121.274528,31.171184,121.27009134361082,31.173223863615792,徐泾镇,310118106000,京华路,228号,东南,1.50618,美特斯·邦威(京华路),购物服务;服装鞋帽皮具店;品牌服装店,购物服务,服装鞋帽皮具店,品牌服装店,骑龙一家园,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,徐泾,,,310118,,,121.286159|31.175343,,
奉贤区,工业路1188号,上海市奉贤区工业路|1188号,121.512458,30.991709,121.5080916526508,30.993894482389976,金汇镇,310120106000,金汇·工业路,1111号,东南,38.5944,,,,,,,,,,,金汇,,,310120,,,121.505273|30.995178,,
